row_id,review_id,overall_sentiment,ground_truth_sentiment,aspect_sentiment,aspect_summary,high_category
0,0,negative,1,positive,Good,GENERAL_FEEDBACK
1,0,negative,1,negative,need updates and improvements,PHONE
2,1,negative,0,negative,Worst mobile i have bought ever,GENERAL_FEEDBACK
3,1,negative,0,negative,"Battery is draining like hell, backup is only 6 to 7 hours with internet uses",PHONE
4,1,negative,0,negative,"booster charger is fake, it takes at least 4 to 5 hours to be fully charged.",PHONE
5,2,negative,1,negative,when I will get my 10% cash back,INFRASTRUCTURE
6,3,positive,1,positive,Good,GENERAL_FEEDBACK
7,4,negative,0,negative,The worst phone ever,GENERAL_FEEDBACK
8,4,negative,0,negative,the amazon is not returning the phone,INFRASTRUCTURE
11,5,negative,0,negative,Waste of money,GENERAL_FEEDBACK
9,5,negative,0,negative,Poor battery,PHONE
10,5,negative,0,negative,Poor camera,PHONE
12,6,negative,1,positive,Phone is awesome.,GENERAL_FEEDBACK
13,6,negative,1,negative,"But while charging, it heats up allot",PHONE
14,7,negative,0,negative,The battery level has worn down,PHONE
15,8,negative,0,negative,phone hanging problems,PHONE
16,8,negative,0,negative,It's over hitting problems,PHONE
17,9,negative,0,negative,A lot of glitches,PHONE
18,10,negative,0,negative,Wrost,GENERAL_FEEDBACK
20,11,negative,1,negative,charger not working / damage within 2 months.,PHONE
19,11,negative,1,positive,Good phone,GENERAL_FEEDBACK
21,12,negative,0,negative,Battery life is very poor,PHONE
22,12,negative,0,negative,so much of heating,PHONE
23,13,negative,0,negative,This is the worst mobile in my life.,GENERAL_FEEDBACK
24,13,negative,0,negative,faced the battery problem and motherboard problem with in 8 months.,PHONE
25,14,positive,1,positive,slim,PHONE
26,14,positive,1,positive,good screen,PHONE
27,14,positive,1,positive,good battry backup,PHONE
28,14,positive,1,positive,Very good phone,GENERAL_FEEDBACK
29,15,negative,0,negative,headset is not available,INFRASTRUCTURE
30,16,negative,0,negative,every time automatic on and off,PHONE
31,17,positive,1,positive,Best product according to their prize range,GENERAL_FEEDBACK
32,17,positive,1,positive,It was 1 of the best deal ever which I hv done on Amazon,INFRASTRUCTURE
33,18,negative,0,negative,Battery draining very rapidly,PHONE
34,19,positive,1,positive,Good smartphone,GENERAL_FEEDBACK
35,20,positive,1,positive,good,GENERAL_FEEDBACK
36,21,negative,0,negative,Galery problem,PHONE
37,21,negative,0,negative,there is not atmos speaker,PHONE
41,22,positive,1,positive,excelent battery,PHONE
40,22,positive,1,positive,excellent features,PHONE
38,22,positive,1,positive,Excellent camera,PHONE
39,22,positive,1,positive,excellent speed,PHONE
42,23,positive,1,positive,It ok good product,GENERAL_FEEDBACK
43,24,negative,0,negative,camera are very poor,PHONE
44,24,negative,0,negative,Os is not good,PHONE
45,24,negative,0,negative,Battery draining very quickly,PHONE
46,25,negative,0,negative,Does not have many options like cast screen,PHONE
47,25,negative,0,negative,No call recording option available,PHONE
48,25,negative,0,negative,Doesn't even connect mobile hotspot,PHONE
49,26,negative,0,negative,They have not gave with phone USB cable,INFRASTRUCTURE
52,27,positive,1,positive,display has been improved,PHONE
50,27,positive,1,positive,Awesome phone in this price,GENERAL_FEEDBACK
51,27,positive,1,positive,It is fast,PHONE
53,28,negative,0,positive,The best of specifications,PHONE
54,28,negative,0,negative,worst of functions,PHONE
55,28,negative,0,negative,The worst phone any1 can ever buy,GENERAL_FEEDBACK
56,29,negative,0,negative,This Fon has two speekars but only one ringing other is non ringing.,PHONE
58,30,negative,0,negative,there is some issue in displaying colors on screen.,PHONE
57,30,negative,0,positive,Good phone.,GENERAL_FEEDBACK
61,31,negative,0,positive,"Before the new update of 8.0 Oreo, it worked superbly",PHONE
59,31,negative,0,negative,battery is also draining unnecessarily,PHONE
60,31,negative,0,negative,"After that update, my phone got heating up simply",PHONE
62,32,negative,0,negative,Dual SIM are not working.,PHONE
63,32,negative,0,negative,Poor customer service.,INFRASTRUCTURE
64,33,negative,0,positive,Good performance,PHONE
65,33,negative,0,negative,the battery gets oveheated,PHONE
66,34,positive,1,positive,Best camera,PHONE
67,34,positive,1,positive,better backup is very best,PHONE
68,34,positive,1,positive,Full passa wasole phone,GENERAL_FEEDBACK
69,35,positive,1,positive,Wonderful best phone,GENERAL_FEEDBACK
73,36,negative,0,negative,Bad performance,PHONE
70,36,negative,0,negative,mobile restarts whenever it feels like,PHONE
71,36,negative,0,negative,signal goes off frequently,PHONE
72,36,negative,0,negative,phone bcoms hot while charging,PHONE
74,37,positive,1,positive,Best all round performance ever!!,PHONE
76,38,negative,0,negative,No trust worthy deals from Amazon.,INFRASTRUCTURE
