row_id,review_id,overall_sentiment,ground_truth_sentiment,aspect_sentiment,aspect_summary,high_category,main_category
0,0,negative,1,positive,Good,GENERAL_FEEDBACK,OVERALL SATISFACTION
1,0,negative,1,negative,need updates and improvements,PHONE,SOFTWARE
2,1,negative,0,negative,Worst mobile i have bought ever,GENERAL_FEEDBACK,OVERALL SATISFACTION
3,1,negative,0,negative,"Battery is draining like hell, backup is only 6 to 7 hours with internet uses",PHONE,BATTERY
4,1,negative,0,negative,"booster charger is fake, it takes at least 4 to 5 hours to be fully charged.",PHONE,BATTERY
5,2,negative,1,negative,when I will get my 10% cash back,INFRASTRUCTURE,REFUNDS & CASHBACK
6,3,positive,1,positive,Good,GENERAL_FEEDBACK,OVERALL SATISFACTION
7,4,negative,0,negative,The worst phone ever,GENERAL_FEEDBACK,OVERALL SATISFACTION
8,4,negative,0,negative,the amazon is not returning the phone,INFRASTRUCTURE,RETURNS & EXCHANGES
11,5,negative,0,negative,Waste of money,GENERAL_FEEDBACK,PRICE & VALUE
9,5,negative,0,negative,Poor battery,PHONE,BATTERY
10,5,negative,0,negative,Poor camera,PHONE,CAMERA
12,6,negative,1,positive,Phone is awesome.,GENERAL_FEEDBACK,OVERALL SATISFACTION
13,6,negative,1,negative,"But while charging, it heats up allot",PHONE,BATTERY
14,7,negative,0,negative,The battery level has worn down,PHONE,BATTERY
15,8,negative,0,negative,phone hanging problems,PHONE,PERFORMANCE
16,8,negative,0,negative,It's over hitting problems,PHONE,BATTERY
17,9,negative,0,negative,A lot of glitches,PHONE,SOFTWARE
18,10,negative,0,negative,Wrost,GENERAL_FEEDBACK,OVERALL SATISFACTION
20,11,negative,1,negative,charger not working / damage within 2 months.,PHONE,BATTERY
19,11,negative,1,positive,Good phone,GENERAL_FEEDBACK,OVERALL SATISFACTION
21,12,negative,0,negative,Battery life is very poor,PHONE,BATTERY
22,12,negative,0,negative,so much of heating,PHONE,BATTERY
23,13,negative,0,negative,This is the worst mobile in my life.,GENERAL_FEEDBACK,OVERALL SATISFACTION
