review_id,ground_truth_sentiment,review
0,1,Good but need updates and improvements
1,0,"Worst mobile i have bought ever, Battery is draining like hell, backup is only 6 to 7 hours with internet uses, even if I put mobile idle its getting discharged.This is biggest lie from Amazon & Lenove which is not at all expected, they are making full by saying that battery is 4000MAH & booster charger is fake, it takes at least 4 to 5 hours to be fully charged.Don't know how Lenovo will survive by making full of us.Please don;t go for this else you will regret like me."
2,1,when I will get my 10% cash back.... its already 15 January..
3,1,Good
4,0,The worst phone everThey have changed the last phone but the problem is still same and the amazon is not returning the phone .Highly disappointing of amazon
5,0,Only I'm telling don't buyI'm totally disappointedPoor batteryPoor cameraWaste of money
6,1,"Phone is awesome. But while charging, it heats up allot..Really a genuine reason to hate Lenovo k8 note"
7,0,The battery level has worn down
8,0,It's over hitting problems...and phone hanging problems Lenovo k 8 note...so where is service station in Ahmedabad it's one years warranty so it's can change the phone by lenovo
9,0,A lot of glitches dont buy this thing better go for some other options
10,0,Wrost
11,1,Good phone but charger not working / damage within 2 months.
12,0,"Don't purchase this item, It is so much of heating &Battery life is very poor"
13,0,I have faced the battery problem and motherboard problem with in 8 months. This is the worst mobile in my life.
14,1,Very good phone slim good battry backup good screen love it
15,0,headset is not available
16,0,every time automatic on and off so kindly suggest me what i can do
17,1,"Best product according to their prize range and it's specification comparison to another mobile(under range) and I had bought this phone during amazon seal so I had 2 paid only 10,999 but I have also hdpf credit card in which I was to paid only Rs 9998.. .. So for me... It was 1 of the best deal ever which I hv done on Amazon.."
18,0,Battery draining very rapidly I don't know why..Tell me possible solutions for battery life
19,1,Good smartphone
20,1,good
21,0,Galery problem and there is not atmos speakerNormal speaker in this phone
22,1,"Excellent camera , excellent speed.excellent features.excelent battery."
23,1,It ok good product
24,0,It is not a very good product camera are very poor ...Os is not good...Battery draining very quickly...Like a odinary phone..It was fully unexpected product from Lenovo..
25,0,"Does not have many options like cast screen, with or without WiFi. No call recording option available. Doesn't even connect mobile hotspot"
26,0,They have not gave with phone USB cable
27,1,Awesome phone in this price and this is my second mobile from lenovo. It is fast and display has been improved.
28,0,The best of specifications with worst of functions... The worst phone any1 can ever buy..
29,0,"I bouth this Fon , but I am surprised to see that,This Fon has two speekars but only one ringing other is non ringing. I am disappointed ."
30,0,Good phone. But there is some issue in displaying colors on screen.
31,0,"Before the new update of 8.0 Oreo, it worked superbly, the battery back-up is also superb and there is not that much heating problem...But... After that update, my phone got heating up simply, battery is also draining unnecessarily... really very much disappointed after that update of 8.0 Oreo...😒😒☹️"
32,0,Not a good one. Dual SIM are not working. Poor customer service.
33,0,Good performance but the battery gets oveheated
34,1,Best camera and better backup is very bestIn this priceFull passa wasole phone
35,1,Wonderful best phone
36,0,"Bad performance.. signal goes off frequently, mobile restarts whenever it feels like, phone bcoms hot while charging.. plzz dont buy it."
37,1,Best all round performance ever!!
38,0,"By purchasing this we have loosed by, Rs.3000 within Span of 30 days. No trust worthy deals from Amazon."
39,0,Not Worth it's big disappointment from lenovo signal problems big headache problems with incoming calls and always show that you are not in range.
40,1,best phone in this rate camera quality is too good
41,1,It works very well.
42,1,Amazing product. Very good mobile at lower price. Good features.
43,1,Very good mobile at this price.. Good quality of camera and it is fast for using
44,0,After using only 3-4 mins continuously it get heated.Camera quality is also not good.
45,0,Worst phone I have ever purchased. Bigggggggest charging issue.
46,0,Poor
47,0,I purchased k8 at first sell but charging of phone is very slow its take around 10 hr to full charge .....
48,0,Ekdam bakwaaaasssDon't buy it network problem is permanent in Lenovo k8 and camera quality very lowBattery performance also very lowPls don't buy it
49,1,Good phone
50,1,Nice performance with 4gb RM and 64gb inbuilt memory
51,1,Superb featurs. Good battery Loved this phone😍😍
52,1,Value for money
53,1,Nice
54,1,this is very beautiful and good looking this Lenovo k8
55,0,Bluetooth problem while connecting bluetooth speaker. Audio breakups were happened. Heating problem while we see you on YouTube half an hour
56,0,Good phone but heating problem exists. But it is a better choice.
57,0,Battery standby problem
58,1,"Nice Mobile, long battery back up , Really killer camera and Jet speed to run any apps.👌👌"
59,1,Amazing product
60,1,Ok
61,0,Not as described screen cast can't work with TV miracast and fast charging is take upto 2.15 hours contacts VCF files only download with Google drive not by SD card total disappointed
62,0,"This is the device for average usage. Battery could not last for a day. The biggest con of this phone is its battery. Though it has 4000 mAh battery, but it drains very fast. Camera quality is good, not very good. Specially, depth enabled mode, focus is not perfect. The thing I like most about this device is display."
63,0,good
64,0,India ka werorst mobile . Battery fully charged offer 1 hour using 100 to 10 % . Network signals full but incoming calls is out of coverage area.lenovo is cheating people.
65,1,Nice Mobile.
66,1,"Mobile is good in this range but battery backup not up to the mark, weight also very high...."
67,1,good to have it at this price point
68,0,Improve in camera in new update slow mo added and no heating issue now but still need system updated. System updates are very slow
69,1,Superb
70,1,Excellent mobile phone
71,1,Very very good product and its really fast
72,0,"Fast delivery... But mobile not worth rs.10000..No gestures, no latest features... Heating issues... Better choose other brands.."
73,1,Best mobile.Great specifications .Camera is too cleare focus is too sharp and fast thanks Amazon and Lenovo for such mobile.Must buy guys
74,1,Verigood Verigood.best
75,0,Firstly product not delivered on time dissatisfied 2 weeks.Secondly Android 7.1.1 naugat doesn't have call recording optionThirdly when selling product cost was 13999/- now why drastically dropped. 10999/-Fourthly when talking over the phone feels like nerve pulling to much radiation need immediate fix on this matter as it's safety and security of customer.Fifthly if any issues in hardware issues please let us know the service centers location. And please ensure hardware availability should be there at any time when customers booked.Finally as discribed about product all features are ok no issues found as mentioned earlier if call recording option would have added the this product would have been met the expectations.Camera quality is good not bad snap attached.
76,1,Excellent Product
77,1,Nice & amazing
78,0,The device restarts automatically.....
79,0,Bought this product recently from amazon. Thoroughly dissatisfied with the phone. A thumbs down for this one.
80,1,Really killer
